Stage                                                   %      Min       Avg        Max         Total         Samples
----------------------------------------------------  -------  --------  ---------  ----------  ------------  -------
biome_pipeline_generate                               100.00%  55.11 ms  586.92 ms  2139.38 ms  208358.24 ms      355
  stage_46_Replace_ARID_COAST_FLAT                      0.02%   0.05 ms    0.11 ms     1.48 ms      40.62 ms      355
  stage_59_Replace_USE_TAR_PIT_RIVER                    0.09%   0.16 ms    0.52 ms    36.84 ms     184.11 ms      355
  stage_66_Replace_USE_MUSHROOM_RIVER                   0.08%   0.16 ms    0.46 ms    21.72 ms     164.91 ms      355
  stage_10_Replace__rift_land                          14.56%   0.05 ms   85.43 ms  1283.22 ms   30327.50 ms      355
  stage_24_ReplaceList_hot-mesa                         0.07%   0.06 ms    0.39 ms    31.24 ms     138.59 ms      355
  source                                                0.89%   1.13 ms    5.21 ms   633.15 ms    1850.40 ms      355
  stage_60_Replace_USE_RIVER_TEMPERATE_MARSH            2.42%   0.16 ms   14.19 ms   825.00 ms    5038.57 ms      355
  stage_15_Replace_land                                 0.94%   0.08 ms    5.53 ms    48.81 ms    1963.14 ms      355
  stage_22_ReplaceList_land                             0.04%   0.06 ms    0.23 ms    21.75 ms      81.33 ms      355
  stage_36_ReplaceList_pale-garden                      0.02%   0.06 ms    0.14 ms     0.92 ms      50.65 ms      355
  stage_61_Replace_USE_PALE_GARDEN_RIVER                0.79%   0.18 ms    4.66 ms   357.50 ms    1653.11 ms      355
  stage_40_Replace__secluded_valleys                    0.02%   0.04 ms    0.11 ms     0.59 ms      38.14 ms      355
  stage_26_ReplaceList_polar-ocean                      0.67%   0.06 ms    3.95 ms    46.40 ms    1401.10 ms      355
  stage_20_Replace_mesa                                 0.05%   0.04 ms    0.31 ms     3.93 ms     109.13 ms      355
  stage_11_ReplaceList__warm_rift                       0.03%   0.07 ms    0.15 ms     1.52 ms      54.99 ms      355
  stage_9_Replace_land                                 30.86%   0.08 ms  181.14 ms   965.26 ms   64306.07 ms      355
  stage_53_FractalExpand                                0.11%   0.36 ms    0.64 ms     8.26 ms     226.45 ms      355
  stage_47_Replace_BOREAL_COAST_HIGHLANDS               0.02%   0.05 ms    0.11 ms     1.38 ms      39.42 ms      355
  stage_32_ReplaceList_polar-mesa                       0.06%   0.06 ms    0.33 ms    39.42 ms     117.84 ms      355
  stage_8_Border_ocean_sinkhole                         0.03%   0.04 ms    0.15 ms     3.63 ms      52.68 ms      355
  stage_71_Replace_USE_RIVER_COASTAL_TROPICAL_SWAMP     0.39%   0.18 ms    2.27 ms   432.11 ms     806.60 ms      355
  stage_48_Replace_POLAR_COAST_FLAT                     0.02%   0.05 ms    0.11 ms     1.12 ms      38.89 ms      355
  stage_76_Replace_USE_JUNGLE_VISTA_RIVER               0.25%   0.16 ms    1.44 ms    49.56 ms     512.53 ms      355
  stage_3_Replace_volcano                               0.02%   0.05 ms    0.13 ms     2.04 ms      46.73 ms      355
  stage_27_ReplaceList_ice-cap                          5.16%   0.07 ms   30.30 ms   113.83 ms   10755.62 ms      355
  stage_83_Replace_USE_SWAMP_RIVER                      0.07%   0.17 ms    0.43 ms    10.73 ms     153.91 ms      355
  stage_65_Replace_USE_POLAR_PALE_GARDEN_RIVER          0.07%   0.17 ms    0.44 ms     1.86 ms     155.42 ms      355
  stage_50_Replace_TEMPERATE_COAST_FLAT                 0.30%   0.05 ms    1.77 ms    33.63 ms     628.07 ms      355
  stage_87_ReplaceList_USE_TROPICAL_TRENCH              1.19%   0.23 ms    6.98 ms   127.51 ms    2479.33 ms      355
  stage_75_Replace_USE_FROZEN_RIVER_FROZEN_MARSH        0.07%   0.16 ms    0.40 ms     1.00 ms     141.06 ms      355
  stage_55_ReplaceList_USE_RIVER                       26.76%   0.40 ms  157.06 ms   934.82 ms   55755.54 ms      355
  stage_89_Replace_USE_CORAL_TRENCH                     0.29%   0.18 ms    1.69 ms    33.63 ms     599.23 ms      355
  stage_43_Replace__foliage_fortress_center                      0.02%   0.05 ms    0.11 ms     0.98 ms      40.66 ms      355
  stage_68_Replace_USE_RIVER_TEMPERATE_SWAMP            0.08%   0.16 ms    0.47 ms    18.43 ms     167.15 ms      355
  stage_84_ReplaceList_USE_TRENCH                       0.84%   0.23 ms    4.96 ms   204.98 ms    1759.36 ms      355
