Biome,Surface Count,Surface %,Subsurface Count,Subsurface %,First X,First Z
ABYSSAL_ALLEYS,15809583,2.4124,15788795,2.4092,-407776,-404640
ACACIA_CAVERNS,0,0.0000,25939454,3.9580,-407648,-409600
ALIEN_MARSH,1420047,0.2167,0,0.0000,-406912,-409504
ALPINE_ASCENDANCY,1056065,0.1611,0,0.0000,-408608,-409600
AMETHYST_HOLLOW,0,0.0000,8724402,1.3312,-405632,-407424
ANDESITE_MINES,0,0.0000,8679311,1.3244,-405984,-409088
ARCTIC_ARCHES,2341132,0.3572,432778,0.0660,-405568,-400800
ARCTIC_MESA,1950627,0.2976,136474,0.0208,-409216,-398304
ARID_ARBORETUM,1510058,0.2304,1170953,0.1787,-407904,-408928
ARID_PALE_GARDEN,663145,0.1012,0,0.0000,-406496,-361248
ARID_SPIKES,2928526,0.4469,0,0.0000,-405568,-408672
ASPEN_FOREST,2382798,0.3636,2,0.0000,-408736,-408256
AUTUMNAL_CAVERNS,0,0.0000,17383738,2.6525,-407936,-409568
AUTUMNAL_WOODLANDS,2789266,0.4256,69,0.0000,-405760,-403392
AZALEA_FOREST,2289334,0.3493,0,0.0000,-407040,-403296
BADLANDS,1486519,0.2268,0,0.0000,-405760,-408864
BADLANDS_BALCONIES,1515860,0.2313,0,0.0000,-407104,-400832
BADLANDS_BUTTES,1915205,0.2922,0,0.0000,-407680,-408672
BAMBOO_BASIN,1360861,0.2077,1167837,0.1782,-408320,-387808
BAMBOO_JUNGLE,2806891,0.4283,0,0.0000,-405696,-392160
BARE_BOULDERFIELDS,990689,0.1512,851639,0.1299,-408992,-409600
BEACH,1937790,0.2957,0,0.0000,-408480,-404608
BIRCH_CAVERNS,0,0.0000,17359556,2.6489,-405696,-409600
BIRCH_FOREST,2589882,0.3952,0,0.0000,-409600,-407840
BIRCH_WOODLANDS,4159529,0.6347,118,0.0000,-405536,-403200
BITTER_HEIGHTS,2658933,0.4057,186440,0.0284,-408928,-409312
BLACK_ARID_PALE_GARDEN,349812,0.0534,0,0.0000,-405792,-304448
BLACK_DESERT_BOG,527404,0.0805,0,0.0000,-409600,-302304
