Biome,Surface Count,Surface %,Subsurface Count,Subsurface %,First X,First Z
ABYSSAL_ALLEYS,17275541,2.6360,17251823,2.6324,-407776,-404640
ACACIA_CAVERNS,0,0.0000,25887382,3.9501,-407648,-409600
ALIEN_MARSH,1333259,0.2034,0,0.0000,-406912,-409504
ALPINE_ASCENDANCY,1403957,0.2142,0,0.0000,-409408,-375392
AMETHYST_HOLLOW,0,0.0000,8706140,1.3285,-405632,-407424
ANDESITE_MINES,0,0.0000,8656981,1.3210,-405984,-409088
ARCTIC_ARCHES,1529723,0.2334,278792,0.0425,-405952,-400128
ARCTIC_MESA,983880,0.1501,132247,0.0202,-409216,-398304
ARID_ARBORETUM,1541867,0.2353,1223412,0.1867,-406912,-408896
ARID_PALE_GARDEN,663052,0.1012,0,0.0000,-406496,-361248
ARID_SPIKES,3857428,0.5886,0,0.0000,-405568,-408672
ASPEN_FOREST,3041846,0.4641,2,0.0000,-409344,-408064
AUTUMNAL_CAVERNS,0,0.0000,17353202,2.6479,-407936,-409568
AUTUMNAL_WOODLANDS,1916405,0.2924,226,0.0000,-406240,-405760
AZALEA_FOREST,2992592,0.4566,0,0.0000,-408704,-404128
BADLANDS,1957663,0.2987,0,0.0000,-405760,-408864
BADLANDS_BALCONIES,1525029,0.2327,0,0.0000,-407104,-400832
BADLANDS_BUTTES,2521343,0.3847,0,0.0000,-405696,-409440
BAMBOO_BASIN,1157705,0.1767,996646,0.1521,-408320,-387808
BAMBOO_JUNGLE,2243451,0.3423,0,0.0000,-407680,-383264
BARE_BOULDERFIELDS,1134080,0.1730,960408,0.1465,-409056,-409600
BEACH,2229062,0.3401,0,0.0000,-409152,-405024
BIRCH_CAVERNS,0,0.0000,17320336,2.6429,-405696,-409600
BIRCH_FOREST,3101624,0.4733,0,0.0000,-406048,-409600
BIRCH_WOODLANDS,2883688,0.4400,350,0.0001,-405536,-403200
BITTER_HEIGHTS,1883976,0.2875,186281,0.0284,-409600,-386336
BLACK_ARID_PALE_GARDEN,349684,0.0534,0,0.0000,-405792,-304448
BLACK_DESERT_BOG,676877,0.1033,0,0.0000,-409600,-324352
BLACK_FOREST,4142775,0.6321,7,0.0000,-409024,-407136
BLACK_SAND_BEACH,2180160,0.3327,18878,0.0029,-407616,-404960
BOREAL_EXTINCT_VOLCANO,2342967,0.3575,0,0.0000,-409600,-407136
BOREAL_MESA,3565454,0.5440,1064,0.0002,-408896,-406240
BOREAL_SHRUBLAND,3413311,0.5208,3,0.0000,-409600,-408320
BOREAL_SINKHOLE,450835,0.0688,0,0.0000,-406016,-374848
BOREAL_SINKHOLE_BORDER,1221753,0.1864,1098101,0.1676,-406112,-374912
BROADLEAF_FOREST,3504587,0.5348,0,0.0000,-409184,-405216
CANOPY_CASCADES,4503687,0.6872,0,0.0000,-405568,-392384
CARVING_CREAKS,2392693,0.3651,2092587,0.3193,-407232,-403680
CHAPARRAL,4377542,0.6680,0,0.0000,-407232,-407200
CLOUD_FOREST,4155401,0.6341,0,0.0000,-405984,-384160
COLD_DEEP_DEPTHS,2936327,0.4480,2571465,0.3924,-409504,-406848
COLD_DEEP_DEPTHS_TRENCH,87866,0.0134,76932,0.0117,-409504,-400928
COLD_DEEP_OCEAN,3043698,0.4644,2670317,0.4075,-409600,-401056
COLD_DEEP_OCEAN_VENTS,84481,0.0129,47988,0.0073,-406048,-403360
